"filename", "language", "Dart", "comment", "blank", "total"
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/screens/home_screen.dart", "Dart", 182, 3, 9, 194
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/screens/search_screen.dart", "Dart", 18, 0, 1, 19
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/services/openweather/weather_forecast_api.dart", "Dart", -3, 0, 0, -3
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/utils/extensions/int_extensions.dart", "Dart", 8, 0, 4, 12
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/widgets/cached_icon.dart", "Dart", -1, 0, 0, -1
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/widgets/search_box.dart", "Dart", 2, 0, 0, 2
"/Users/saleh/Desktop/ZarinPal Project/weather_forecast/weather_forecast_app_zarinpal/lib/src/widgets/slide_animation.dart", "Dart", 36, 0, 6, 42
"Total", "-", 242, 3, 20, 265
